"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Mo Yan";"male";"1955-02-02";"Gaomi";"China";"Asia";"2012";"The Nobel Prize in Literature";"2012-10-11";"who with hallucinatory realism merges folk tales, history and the contemporary";8000000;8512821
"Mohamed ElBaradei";"male";"1942-06-17";"Cairo";"Egypt";"Africa";"2005";"The Nobel Peace Prize";"2005-10-07";"for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way";10000000;11923798
"Mother Teresa";"female";"1910-08-26";"Uskup";"Ottoman Empire";"Europe";"1979";"The Nobel Peace Prize";"1979-10-27";"for her work for bringing help to suffering humanity";800000;3042231
"Muhammad Yunus";"male";"1940-06-28";"Chittagong";"British India";"Asia";"2006";"The Nobel Peace Prize";"2006-10-13";"for their efforts to create economic and social development from below";10000000;11762169
"Murray Gell-Mann";"male";"1929-09-15";"New York, NY";"USA";"North America";"1969";"The Nobel Prize in Physics";NA;"for his contributions and discoveries concerning the classification of elementary particles and their interactions";375000;3239253
"Myron Scholes";"male";"1941-07-01";"Timmins, ON";"Canada";"North America";"1997";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1997-10-14";"for a new method to determine the value of derivatives";7500000;9746426
"Nadia Murad";"female";"1993-00-00";"Kojo";"Iraq";"Asia";"2018";"The Nobel Peace Prize";"2018-10-05";"for their efforts to end the use of sexual violence as a weapon of war and armed conflict";9000000;9163200
"Nadine Gordimer";"female";"1923-11-20";"Springs";"South Africa";"Africa";"1991";"The Nobel Prize in Literature";NA;"who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity";6000000;8831149
"Naguib Mahfouz";"male";"1911-12-11";"Cairo";"Egypt";"Africa";"1988";"The Nobel Prize in Literature";NA;"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind";2500000;4729931
NA;NA;NA;NA;NA;NA;"1938";"The Nobel Peace Prize";"1938-11-17";"for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe";155077;4625656
"Nathan Söderblom";"male";"1866-01-15";"Trönö";"Sweden";"Europe";"1930";"The Nobel Peace Prize";"1930-12-10";"for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'";172947;5158685
NA;NA;NA;NA;NA;NA;"2015";"The Nobel Peace Prize";"2015-10-09";"for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011";8000000;8536613
"Nelly Sachs";"female";"1891-12-10";"Berlin";"Germany";"Europe";"1966";"The Nobel Prize in Literature";NA;"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength ";300000;2835149
"Nelson Mandela";"male";"1918-07-18";"Qunu";"South Africa";"Africa";"1993";"The Nobel Peace Prize";"1993-10-15";"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa";6700000;9208279
"Nicholas Murray Butler";"male";"1862-04-02";"Elizabeth, NJ";"USA";"North America";"1931";"The Nobel Peace Prize";"1931-12-10";"for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind";173206;5333069
"Nicolaas Bloembergen";"male";"1920-03-11";"Dordrecht";"the Netherlands";"Europe";"1981";"The Nobel Prize in Physics";"1981-10-19";"for their contribution to the development of laser spectroscopy";1000000;2982813
"Nicolay G. Basov";"male";"1922-12-14";"Usman";"USSR";"Europe";"1964";"The Nobel Prize in Physics";NA;"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle";273000;2879320
"Niels Bohr";"male";"1885-10-07";"Copenhagen";"Denmark";"Europe";"1922";"The Nobel Prize in Physics";NA;"for his services in the investigation of the structure of atoms and of the radiation emanating from them";122483;3203014
"Niels K. Jerne";"male";"1911-12-23";"London";"United Kingdom";"Europe";"1984";"The Nobel Prize in Physiology or Medicine";NA;"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies";1650000;3850672
"Niels Ryberg Finsen";"male";"1860-12-15";"Thorshavn";"Faroe Islands (Denmark)";"Europe";"1903";"The Nobel Prize in Physiology or Medicine";NA;"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science";141358;7936836
"Nikolaas Tinbergen";"male";"1907-04-15";"the Hague";"the Netherlands";"Europe";"1973";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning organization and elicitation of individual and social behaviour patterns";510000;3392300
"Nikolay Semenov";"male";"1896-04-03";"Saratov";"Russia";"Europe";"1956";"The Nobel Prize in Chemistry";NA;"for their researches into the mechanism of chemical reactions";200123;2748452
"Norman Borlaug";"male";"1914-03-25";"Cresco, IA";"USA";"North America";"1970";"The Nobel Peace Prize";"1970-10-21";"for having given a well-founded hope - the green revolution";400000;3235593
"Norman F. Ramsey";"male";"1915-08-27";"Washington, DC";"USA";"North America";"1989";"The Nobel Prize in Physics";"1989-10-12";"for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks";3000000;5337372
"Norman Haworth";"male";"1883-03-19";"Chorley";"United Kingdom";"Europe";"1937";"The Nobel Prize in Chemistry";NA;"for his investigations on carbohydrates and vitamin C";158463;4801680
"Octavio Paz";"male";"1914-03-31";"Mexico City";"Mexico";"North America";"1990";"The Nobel Prize in Literature";NA;"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity";4000000;6443882
"Odd Hassel";"male";"1897-05-17";"Kristiania";"Norway";"Europe";"1969";"The Nobel Prize in Chemistry";NA;"for their contributions to the development of the concept of conformation and its application in chemistry";375000;3239253
"Odysseus Elytis";"male";"1911-11-02";"Iráklion";"Crete";"Europe";"1979";"The Nobel Prize in Literature";NA;"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness";800000;3042231
NA;NA;NA;NA;NA;NA;"1954";"The Nobel Peace Prize";"1955-11-05";"for its efforts to heal the wounds of war by providing help and protection to refugees all over the world";181647;2688094
NA;NA;NA;NA;NA;NA;"1981";"The Nobel Peace Prize";"1981-10-14";"for promoting the fundamental rights of refugees";1000000;2982813
"Olga Tokarczuk";"female";"1962-01-29";"Sulechów";"Poland";"Europe";"2018";"The Nobel Prize in Literature";"2019-10-10";"for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life";9000000;9000000
"Oliver E. Williamson";"male";"1932-09-27";"Superior, WI";"USA";"North America";"2009";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2009-10-12";"for his analysis of economic governance, especially the boundaries of the firm";10000000;11157218
"Oliver Hart";"male";"1948-10-09";"London";"United Kingdom";"Europe";"2016";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2016-10-10";"for their contributions to contract theory";8000000;8451577
"Oliver Smithies";"male";"1925-06-23";"Halifax";"United Kingdom";"Europe";"2007";"The Nobel Prize in Physiology or Medicine";"2007-10-08";"for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells";10000000;11506932
NA;NA;NA;NA;NA;NA;"2013";"The Nobel Peace Prize";"2013-10-11";"for its extensive efforts to eliminate chemical weapons";8000000;8517568
"Orhan Pamuk";"male";"1952-06-07";"Istanbul";"Turkey";"Asia";"2006";"The Nobel Prize in Literature";"2006-10-12";"who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures";10000000;11762169
"Osamu Shimomura";"male";"1928-08-27";"Kyoto";"Japan";"Asia";"2008";"The Nobel Prize in Chemistry";"2008-10-08";"for the discovery and development of the green fluorescent protein, GFP";10000000;11124709
"Oscar Arias Sánchez";"male";"1940-09-13";"Heredia";"Costa Rica";"North America";"1987";"The Nobel Peace Prize";"1987-10-13";"for his work for lasting peace in Central America";2175000;4352280
"Otto Diels";"male";"1876-01-23";"Hamburg";"Germany";"Europe";"1950";"The Nobel Prize in Chemistry";NA;"for their discovery and development of the diene synthesis";164304;3105508
"Otto Hahn";"male";"1879-03-08";"Frankfurt-on-the-Main";"Germany";"Europe";"1944";"The Nobel Prize in Chemistry";NA;"for his discovery of the fission of heavy nuclei";121841;2555983
"Otto Loewi";"male";"1873-06-03";"Frankfurt-on-the-Main";"Germany";"Europe";"1936";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to chemical transmission of nerve impulses";159850;5002519
"Otto Meyerhof";"male";"1884-04-12";"Hanover";"Germany";"Europe";"1922";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle";122483;3203014
"Otto Stern";"male";"1888-02-17";"Sorau";"Germany";"Europe";"1943";"The Nobel Prize in Physics";NA;"for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton";123691;2566588
"Otto Wallach";"male";"1847-03-27";"Koenigsberg";"Germany";"Europe";"1910";"The Nobel Prize in Chemistry";NA;"in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds";140703;7259514
"Otto Warburg";"male";"1883-10-08";"Freiburg im Breisgau";"Germany";"Europe";"1931";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the nature and mode of action of the respiratory enzyme";173206;5333069
"Owen Chamberlain";"male";"1920-07-10";"San Francisco, CA";"USA";"North America";"1959";"The Nobel Prize in Physics";NA;"for their discovery of the antiproton";220678;2753427
"Owen Willans Richardson";"male";"1879-04-26";"Dewsbury";"United Kingdom";"Europe";"1928";"The Nobel Prize in Physics";NA;"for his work on the thermionic phenomenon and especially for the discovery of the law named after him";156939;4539342
"Pablo Neruda";"male";"1904-07-12";"Parral";"Chile";"South America";"1971";"The Nobel Prize in Literature";NA;"for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams";450000;3382087
"Pär Lagerkvist";"male";"1891-05-23";"Växjö";"Sweden";"Europe";"1951";"The Nobel Prize in Literature";NA;"for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind";167612;2734798
"Patrick M.S. Blackett";"male";"1897-11-18";"London";"United Kingdom";"Europe";"1948";"The Nobel Prize in Physics";NA;"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation";159773;3112313
"Patrick Modiano";"male";"1945-07-30";"Paris";"France";"Europe";"2014";"The Nobel Prize in Literature";"2014-10-09";"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation";8000000;8531844
"Patrick White";"male";"1912-05-28";"London";"United Kingdom";"Europe";"1973";"The Nobel Prize in Literature";NA;"for an epic and psychological narrative art which has introduced a new continent into literature";510000;3392300
"Paul A. Samuelson";"male";"1915-05-15";"Gary, IN";"USA";"North America";"1970";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1970-10-26";"for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science";400000;3235593
"Paul A.M. Dirac";"male";"1902-08-08";"Bristol";"United Kingdom";"Europe";"1933";"The Nobel Prize in Physics";NA;"for the discovery of new productive forms of atomic theory";170332;5511251
"Paul Berg";"male";"1926-06-30";"New York, NY";"USA";"North America";"1980";"The Nobel Prize in Chemistry";"1980-10-14";"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA";880000;2942067
"Paul C. Lauterbur";"male";"1929-05-06";"Sidney, OH";"USA";"North America";"2003";"The Nobel Prize in Physiology or Medicine";"2003-10-06";"for their discoveries concerning magnetic resonance imaging";10000000;12021411
"Paul D. Boyer";"male";"1918-07-31";"Provo, UT";"USA";"North America";"1997";"The Nobel Prize in Chemistry";"1997-10-15";"for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)";7500000;9746426
